TIME[s]	[Pa]
4.145768E-01	2.994275E-02
4.145976E-01	3.384239E-02
4.146184E-01	4.340062E-02
4.146393E-01	2.097083E-02
4.146601E-01	4.026454E-02
4.146809E-01	1.713936E-02
4.147018E-01	2.939734E-02
4.147226E-01	3.080176E-02
4.147434E-01	2.313882E-02
4.147643E-01	4.434144E-02
4.147851E-01	2.042542E-02
4.148059E-01	4.357788E-02
4.148268E-01	3.348788E-02
4.148476E-01	3.667850E-02
4.148684E-01	4.799566E-02
4.148892E-01	2.571586E-02
4.149101E-01	4.780477E-02
4.149309E-01	2.724299E-02
4.149517E-01	4.055088E-02
4.149726E-01	4.049633E-02
4.149934E-01	2.826562E-02
4.150142E-01	4.495502E-02
4.150351E-01	1.951187E-02
4.150559E-01	4.082358E-02
4.150767E-01	3.026999E-02
4.150976E-01	3.566950E-02
4.151184E-01	4.835017E-02
4.151392E-01	2.742025E-02
4.151601E-01	5.171805E-02
4.151809E-01	2.942461E-02
4.152017E-01	3.941916E-02
4.152226E-01	3.969186E-02
4.152434E-01	2.577040E-02
4.152642E-01	4.320973E-02
4.152851E-01	1.889829E-02
4.153059E-01	3.442870E-02
4.153267E-01	2.143442E-02
4.153475E-01	1.926644E-02
4.153684E-01	3.573767E-02
4.153892E-01	2.146169E-02
4.154100E-01	4.772295E-02
4.154309E-01	2.733844E-02
4.154517E-01	3.472868E-02
4.154725E-01	3.031089E-02
4.154934E-01	1.923917E-02
4.155142E-01	4.136898E-02
4.155350E-01	1.754841E-02
4.155559E-01	3.776931E-02
4.155767E-01	2.971095E-02
4.155975E-01	3.148352E-02
4.156184E-01	4.663214E-02
4.156392E-01	2.452960E-02
4.156600E-01	4.922282E-02
4.156809E-01	2.770658E-02
4.157017E-01	3.618763E-02
4.157225E-01	3.864196E-02
4.157434E-01	2.358877E-02
4.157642E-01	4.543225E-02
4.157850E-01	2.305700E-02
4.158058E-01	4.160078E-02
4.158267E-01	2.699756E-02
4.158475E-01	2.293429E-02
4.158683E-01	3.651488E-02
4.158892E-01	1.712572E-02
4.159100E-01	4.254160E-02
4.159308E-01	2.671122E-02
4.159517E-01	4.056451E-02
4.159725E-01	4.438235E-02
4.159933E-01	3.354242E-02
4.160142E-01	5.770387E-02
4.160350E-01	3.174258E-02
4.160558E-01	4.938644E-02
4.160767E-01	3.528772E-02
4.160975E-01	2.920645E-02
4.161183E-01	4.525500E-02
4.161392E-01	2.391602E-02
4.161600E-01	4.963187E-02
4.161808E-01	2.957460E-02
4.162017E-01	3.800111E-02
4.162225E-01	3.292884E-02
4.162433E-01	1.791656E-02
4.162641E-01	4.074177E-02
4.162850E-01	2.004364E-02
4.163058E-01	3.714209E-02
4.163266E-01	2.627490E-02
4.163475E-01	1.962095E-02
4.163683E-01	3.291520E-02
4.163891E-01	1.524408E-02
4.164100E-01	4.423236E-02
4.164308E-01	2.417509E-02
4.164516E-01	3.442870E-02
4.164725E-01	3.547861E-02
4.164933E-01	2.165259E-02
4.165141E-01	4.071450E-02
4.165350E-01	1.809382E-02
4.165558E-01	4.052361E-02
4.165766E-01	3.482412E-02
4.165975E-01	3.427872E-02
4.166183E-01	4.735481E-02
4.166391E-01	2.245706E-02
4.166600E-01	4.256888E-02
4.166808E-01	2.169349E-02
4.167016E-01	3.026999E-02
4.167224E-01	3.386966E-02
4.167433E-01	1.928007E-02
4.167641E-01	3.992366E-02
4.167849E-01	1.608945E-02
4.168058E-01	3.493320E-02
4.168266E-01	2.934280E-02
4.168474E-01	2.650669E-02
4.168683E-01	4.115082E-02
4.168891E-01	1.682575E-02
4.169099E-01	3.826017E-02
4.169308E-01	1.664849E-02
4.169516E-01	2.131171E-02
4.169724E-01	2.673849E-02
4.169933E-01	1.573494E-02
4.170141E-01	4.060542E-02
4.170349E-01	2.012545E-02
4.170558E-01	3.922827E-02
4.170766E-01	3.170168E-02
4.170974E-01	2.571586E-02
4.171183E-01	4.042816E-02
4.171391E-01	1.428962E-02
4.171599E-01	3.381512E-02
4.171807E-01	1.983911E-02
4.172016E-01	2.992911E-02
4.172224E-01	4.125990E-02
4.172432E-01	2.622036E-02
4.172641E-01	4.498229E-02
4.172849E-01	1.607582E-02
4.173057E-01	2.897465E-02
4.173266E-01	1.553041E-02
4.173474E-01	8.044726E-03
4.173682E-01	2.444779E-02
4.173891E-01	3.517864E-03
4.174099E-01	2.827926E-02
4.174307E-01	1.475321E-02
4.174516E-01	2.619308E-02
4.174724E-01	3.303792E-02
4.174932E-01	1.844833E-02
4.175141E-01	4.165532E-02
4.175349E-01	1.555768E-02
4.175557E-01	2.811564E-02
4.175766E-01	2.132534E-02
4.175974E-01	1.251705E-02
4.176182E-01	2.882466E-02
4.176390E-01	9.735483E-03
4.176599E-01	3.626944E-02
4.176807E-01	2.217072E-02
4.177015E-01	3.074722E-02
4.177224E-01	3.551951E-02
4.177432E-01	1.835288E-02
4.177640E-01	3.648761E-02
4.177849E-01	8.890104E-03
4.178057E-01	2.058905E-02
4.178265E-01	9.940010E-03
4.178474E-01	2.181621E-03
4.178682E-01	2.462504E-02
4.178890E-01	7.499321E-03
4.179099E-01	3.286066E-02
4.179307E-01	1.623944E-02
4.179515E-01	2.011182E-02
4.179724E-01	2.905646E-02
4.179932E-01	1.021271E-02
4.180140E-01	3.243797E-02
4.180349E-01	1.010363E-02
4.180557E-01	2.740661E-02
4.180765E-01	2.077994E-02
4.180973E-01	1.284429E-02
4.181182E-01	2.868831E-02
4.181390E-01	4.076904E-03
4.181598E-01	3.051542E-02
4.181807E-01	1.728934E-02
4.182015E-01	2.593402E-02
4.182223E-01	3.134716E-02
4.182432E-01	9.803658E-03
4.182640E-01	2.939734E-02
4.182848E-01	5.890376E-03
4.183057E-01	2.152987E-02
4.183265E-01	1.848924E-02
4.183473E-01	1.322608E-02
4.183682E-01	3.352879E-02
4.183890E-01	1.082629E-02
4.184098E-01	3.527408E-02
4.184307E-01	1.948460E-02
4.184515E-01	2.131171E-02
4.184723E-01	2.647942E-02
4.184932E-01	8.494686E-03
4.185140E-01	3.043361E-02
4.185348E-01	7.567497E-03
4.185556E-01	2.364331E-02
4.185765E-01	1.668940E-02
4.185973E-01	8.221983E-03
4.186181E-01	2.722935E-02
4.186390E-01	4.281431E-03
4.186598E-01	2.399783E-02
4.186806E-01	8.794659E-03
4.187015E-01	1.423508E-02
4.187223E-01	2.552496E-02
4.187431E-01	1.135806E-02
4.187640E-01	3.801474E-02
4.187848E-01	1.422144E-02
4.188056E-01	3.044724E-02
4.188265E-01	2.500683E-02
4.188473E-01	1.336243E-02
4.188681E-01	2.860650E-02
4.188890E-01	8.644672E-03
4.189098E-01	2.679303E-02
4.189306E-01	1.115354E-02
4.189515E-01	1.137170E-02
4.189723E-01	1.966186E-02
4.189931E-01	1.840743E-03
4.190139E-01	2.750206E-02
4.190348E-01	8.699213E-03
4.190556E-01	2.052087E-02
4.190764E-01	1.532589E-02
4.190973E-01	6.981187E-03
4.191181E-01	2.226617E-02
4.191389E-01	-3.408782E-04
4.191598E-01	2.484321E-02
4.191806E-01	1.388056E-02
4.192014E-01	1.878921E-02
4.192223E-01	3.005183E-02
4.192431E-01	8.835564E-03
4.192639E-01	3.241070E-02
4.192848E-01	8.085632E-03
4.193056E-01	1.833925E-02
4.193264E-01	1.313063E-02
4.193473E-01	4.676850E-03
4.193681E-01	2.626126E-02
4.193889E-01	3.858742E-03
4.194098E-01	2.300246E-02
4.194306E-01	1.111263E-02
4.194514E-01	1.139897E-02
4.194722E-01	1.637579E-02
4.194931E-01	-4.676850E-03
4.195139E-01	1.820290E-02
4.195347E-01	-6.681214E-04
4.195556E-01	1.701664E-02
4.195764E-01	1.611672E-02
4.195972E-01	8.426511E-03
4.196181E-01	3.253342E-02
4.196389E-01	9.299159E-03
4.196597E-01	3.126535E-02
4.196806E-01	1.619853E-02
4.197014E-01	1.664849E-02
4.197222E-01	2.593402E-02
4.197431E-01	5.999457E-03
4.197639E-01	2.628853E-02
4.197847E-01	2.686121E-03
4.198056E-01	1.689393E-02
4.198264E-01	1.919826E-02
4.198472E-01	1.082629E-02
4.198681E-01	3.037907E-02
4.198889E-01	7.731119E-03
4.199097E-01	2.778840E-02
4.199305E-01	1.536679E-02
4.199514E-01	1.227162E-02
4.199722E-01	2.507500E-02
4.199930E-01	4.281431E-03
4.200139E-01	2.671122E-02
4.200347E-01	5.822200E-03
4.200555E-01	2.092993E-02
4.200764E-01	2.151624E-02
4.200972E-01	1.015817E-02
4.201180E-01	2.752933E-02
4.201389E-01	1.527135E-03
4.201597E-01	2.222526E-02
4.201805E-01	1.053996E-02
4.202014E-01	1.009000E-02
4.202222E-01	2.131171E-02
4.202430E-01	2.345242E-03
4.202639E-01	2.384784E-02
4.202847E-01	3.354242E-03
4.203055E-01	1.630761E-02
4.203264E-01	1.772567E-02
4.203472E-01	4.622309E-03
4.203680E-01	2.502046E-02
4.203888E-01	2.836107E-03
4.204097E-01	2.525226E-02
4.204305E-01	1.722117E-02
4.204513E-01	1.321244E-02
4.204722E-01	2.622036E-02
4.204930E-01	3.122445E-03
4.205138E-01	2.552496E-02
4.205347E-01	7.758389E-03
4.205555E-01	1.952551E-02
4.205763E-01	2.260705E-02
4.205972E-01	1.082629E-02
4.206180E-01	3.291520E-02
4.206388E-01	8.153807E-03
4.206597E-01	2.444779E-02
4.206805E-01	1.263977E-02
4.207013E-01	1.049905E-02
4.207222E-01	2.117536E-02
4.207430E-01	-9.817294E-04
4.207638E-01	2.182984E-02
4.207847E-01	3.545134E-03
4.208055E-01	1.235343E-02
4.208263E-01	1.645760E-02
4.208471E-01	7.417511E-03
4.208680E-01	3.111537E-02
4.208888E-01	1.374421E-02
4.209096E-01	3.382876E-02
4.209305E-01	2.146169E-02
4.209513E-01	1.506682E-02
4.209721E-01	2.316609E-02
4.209930E-01	-5.590403E-04
4.210138E-01	2.221163E-02
4.210346E-01	4.458687E-03
4.210555E-01	1.958005E-02
4.210763E-01	2.526589E-02
4.210971E-01	1.074448E-02
4.211180E-01	2.992911E-02
4.211388E-01	8.181078E-04
4.211596E-01	1.419417E-02
4.211805E-01	4.881376E-03
4.212013E-01	3.026999E-03
4.212221E-01	1.885738E-02
4.212430E-01	-3.231526E-03
4.212638E-01	2.185711E-02
4.212846E-01	5.058633E-03
4.213054E-01	1.413963E-02
4.213263E-01	1.835288E-02
4.213471E-01	1.146714E-02
4.213679E-01	3.434689E-02
4.213888E-01	1.277612E-02
4.214096E-01	2.787021E-02
4.214304E-01	1.539406E-02
4.214513E-01	8.835564E-03
4.214721E-01	2.495229E-02
4.214929E-01	4.785931E-03
4.215138E-01	2.751569E-02
4.215346E-01	4.622309E-03
4.215554E-01	1.048542E-02
4.215763E-01	1.572130E-02
4.215971E-01	4.404147E-03
4.216179E-01	2.968368E-02
4.216388E-01	7.349335E-03
4.216596E-01	2.386148E-02
4.216804E-01	1.629398E-02
4.217013E-01	1.044451E-02
4.217221E-01	2.567495E-02
4.217429E-01	-5.317701E-04
4.217637E-01	2.270249E-02
4.217846E-01	3.422418E-03
4.218054E-01	8.985550E-03
4.218262E-01	1.355332E-02
4.218471E-01	3.436053E-03
4.218679E-01	2.907010E-02
4.218887E-01	8.453781E-03
4.219096E-01	2.536134E-02
4.219304E-01	2.058905E-02
4.219512E-01	1.173985E-02
4.219721E-01	2.657487E-02
4.219929E-01	8.153807E-03
4.220137E-01	3.001092E-02
4.220346E-01	8.058362E-03
4.220554E-01	1.394874E-02
4.220762E-01	1.778021E-02
4.220971E-01	4.445052E-03
4.221179E-01	2.683393E-02
4.221387E-01	6.422146E-03
4.221596E-01	2.807473E-02
4.221804E-01	1.918463E-02
